sat_path,svi_path,severity,description
000010_sat.png,000010_svi.png,Moderate,"A street level photo of a neighborhood recently affected by a significant storm. The asphalt road is mostly clear but considerable amounts of scattered brown leaves, small branches, and organic debris line the curbs and fill the verges. Buildings, including a larger structure with a dark, pitched roof, appear structurally sound with roofs intact, though their facades might show signs of minor weathering or streaking. The surrounding vegetation is severely damaged: numerous trees are completely defoliated, showcasing bare, tangled branches against the sky, and palm trees have tattered, broken, or stripped fronds. The ground in vegetated areas is densely covered with a thick carpet of dried leaves, twigs, and other woody debris. The scene is illuminated by a somewhat hazy sun, casting soft, subtle shadows, indicating clearing weather in the immediate aftermath of the disaster."
000011_sat.png,000011_svi.png,Moderate,"A street level photo of a coastal neighborhood recovering after a strong hurricane. The wide asphalt roads are mostly clear for traffic, but their shoulders and sidewalks are covered in significant piles of green and brown vegetative debris, including snapped branches, defoliated leaves, and smaller tree trunks. Patches of green grass are visible between the debris. Residential houses in the background appear structurally sound with largely intact roofs, though some minor damage like displaced shingles or fascia might be visible. Many deciduous trees are defoliated, appearing bare or with sparse leaves, while numerous palm trees stand with their fronds stripped away, leaving only their trunks. The scene is illuminated by bright, post-storm daylight, casting distinct shadows, indicating clear skies."
000012_sat.png,000012_svi.png,Severe,"A street level photo of a coastal residential neighborhood utterly devastated by a powerful hurricane. The dark, wet asphalt road is almost entirely obscured by massive piles of brown, sodden organic debris – tree branches, leaves, and shattered remnants of household items. Front yards are completely choked with debris, and numerous trees are snapped, splintered, and denuded, their bare, broken trunks jutting skyward. Many houses exhibit catastrophic roof damage, with large sections missing or severely compromised, potentially exposing interiors or showing temporary blue tarps. Windows are broken or boarded up, and siding may be torn away. The air is thick with humidity and the smell of damp earth and debris, under a heavy, overcast sky that suggests the storm has only recently passed."
000013_sat.png,000013_svi.png,Moderate,"A street level photo of a commercial area in a coastal region after a hurricane. The asphalt roads and extensive parking lots are covered in scattered leaf litter, broken branches, and palm fronds, with visible wet patches and small puddles reflecting recent rainfall. The large commercial buildings appear structurally sound with intact roofs, but their lower facades or signage might show minor cosmetic damage. The surrounding landscape is heavily impacted: numerous trees are defoliated, with snapped trunks, broken limbs, and large piles of green and brown vegetative debris accumulated along curbs, in planters, and grassy areas. In the distance, damaged or overturned boats are visible near a body of water. The sky is clear and bright, casting strong, defined shadows, indicating the immediate aftermath under clearing weather conditions."
000014_sat.png,000014_svi.png,Moderate,"A street level photo of a residential neighborhood recovering from a recent storm. The asphalt road is mostly clear, but with scattered palm fronds and small branches along the curbs and on driveways. Lawns are still green, yet many prominent palm trees are visibly snapped, heavily defoliated, or leaning, with their torn fronds contributing to the scattered debris across the yards. Houses largely maintain their structural integrity, though some terracotta tile roofs exhibit signs of minor damage, such as dislodged or missing tiles. The scene is illuminated by bright, clear sunlight, casting defined shadows, suggesting fair weather after the storm's passage."
000015_sat.png,000015_svi.png,Severe,"A street level photo of a heavily forested area devastated by a powerful natural disaster, likely a hurricane or severe storm. The asphalt road is visible, appearing somewhat wet or stained, with smaller debris scattered sparsely. Both sides of the road are bordered by an immense, chaotic tangle of snapped tree trunks, broken branches, and defoliated foliage lying across the ground. Many large trees are completely toppled, their roots exposed, while others stand as bare, skeletal forms stripped of leaves and smaller branches. The ground beneath the debris appears muddy and dark. A leaning utility pole with broken lines is visible near the roadside, disappearing into the dense, damaged vegetation. The sky is overcast, casting a somber, diffused light across the scene, highlighting the widespread destruction of the natural landscape."
000016_sat.png,000016_svi.png,Moderate,"A street level photo of a suburban residential neighborhood in the aftermath of a severe storm or hurricane. The asphalt road is largely clear but appears damp in patches, with scattered dark debris like wet leaves and small branches pushed towards the curbs and verges. Houses exhibit moderate damage: one home with a distinctive terracotta tiled roof shows multiple missing or displaced tiles, revealing a darker underlay. Other homes have grey shingle roofs, mostly intact, but with attached screen enclosures (like pool cages) that are severely torn, collapsed, or completely missing their screening material, leaving only bare frames. The yards and surrounding natural areas are characterized by extensive woody debris, including countless defoliated and snapped tropical trees, broken branches, and tattered palm fronds covering the ground. The overall scene implies significant wind damage to vegetation and secondary structures, under a clear or partly cloudy sky, with strong sunlight casting distinct shadows, indicating that the immediate storm has passed."
000017_sat.png,000017_svi.png,Moderate,"A street level photo of a residential street in a coastal area, immediately after a powerful hurricane. The asphalt road is partially obscured by a thick layer of vegetative debris, including countless broken palm fronds, snapped tree branches, and tangled leaves, with muddy streaks and puddles in low-lying areas and along the road shoulders. The once lush tropical vegetation is devastated; most palm trees are snapped halfway up their trunks or completely defoliated, resembling bare poles, while other deciduous trees are stripped of leaves with many branches broken and twisted. In the foreground, a sturdy single-story house with a light gray, possibly tiled or metal, roof appears structurally sound, though its windows might be boarded up or shattered, and its surrounding yard is a chaotic mess of storm-blown vegetation and detritus. The sky is overcast and hazy, diffusing sunlight and casting a somber, muted light over the scene, indicating the recent passage of severe weather."
000018_sat.png,000018_svi.png,Severe,"A street level photo of a coastal residential area after a severe hurricane. The asphalt road is coated in a thick layer of wet, grey mud and fine sand, with large puddles reflecting an overcast sky. Piles of organic debris, including snapped tree branches and defoliated bushes, line the sides of the road and choke the yards. In the background, houses with visible but potentially damaged roofs stand amidst the widespread devastation, their lower walls possibly stained by floodwaters. Nearby, dislodged or partially submerged boats hint at storm surge. All vegetation is stripped bare, displaying only broken branches and trunks, with a few windswept, mangled palm trees barely standing. The overall atmosphere is desolate and damp under a muted, overcast sky."
000019_sat.png,000019_svi.png,Moderate,"A street level photo of a residential neighborhood recently impacted by a storm. The asphalt road is mostly clear of large debris but the adjacent grassy lawns are extensively scattered with light-colored vegetation debris, mainly snapped palm fronds and small branches, showing signs of significant wind disturbance. Many palm trees are visibly damaged, with some appearing defoliated or having snapped trunks. Most single-family houses exhibit largely intact roofs, though some may have minor damage or visible missing sections from screened enclosures. The scene is illuminated by bright sunlight, casting sharp shadows, indicating clear or partly cloudy skies after the event, and the ground appears dry."
000020_sat.png,000020_svi.png,Moderate,"A street level photo of a commercial street in a disaster-affected area, captured on a sunny day post-storm. The wide asphalt road is clear and dry, but the concrete sidewalks, grassy medians, and adjacent parking lots are extensively covered with scattered green palm fronds and small branches. Nearly all palm trees lining the street and within the parking areas are severely damaged, displaying snapped trunks, heavy defoliation, and leaning or broken remnants. Commercial buildings in the background appear largely structurally intact, though some may exhibit minor roof damage or missing shingles. Bright, direct sunlight from a clear sky casts long, sharp shadows across the scene, highlighting the widespread vegetative debris and the stark impact on the environment."
000021_sat.png,000021_svi.png,Mild,"A street level photo of a tranquil, modern residential neighborhood situated alongside a dark, calm canal system. Houses are single-story with clean, light-colored gabled roofs and intact windows, appearing well-maintained. Manicured green lawns line the properties, separating them from the clear, dry asphalt road and paved driveways. Upright palm trees and other green vegetation are scattered throughout, though some trees along the distant waterway on the left show minor signs of wind-tattered foliage. Distinct, sharp shadows are cast by structures and trees, indicating bright sunlight under a clear or partly cloudy sky. Minimal debris is visible, with some localized disturbed earth near what appears to be an undeveloped or recently cleared lot further down the street."
000022_sat.png,000022_svi.png,Severe,"A street level photo of a hurricane-devastated residential neighborhood. The asphalt roads and front yards are completely inundated with dark, murky floodwaters, reflecting a gloomy, overcast sky. Massive piles of waterlogged tree debris, including snapped trunks, broken branches, and defoliated foliage, are strewn across properties and floating in the deep water. The single-family homes, mostly with pitched roofs, appear structurally standing but are partially submerged, with water reaching their lower windowsills or foundations. Some windows may show signs of impact or be broken. Numerous palm trees are snapped mid-trunk or completely stripped bare, resembling jagged poles, while other broadleaf trees are defoliated, displaying their skeletal branches. The overall atmosphere is desolate and damp, under a heavy, grey, overcast sky."
000023_sat.png,000023_svi.png,Moderate,"A street level photo of a coastal commercial and residential neighborhood in the aftermath of a severe weather event. The asphalt roads are visibly wet with lingering puddles and streaks of mud and fine debris. The ground in grassy areas and unpaved sections is churned earth, heavily muddied, and littered with organic debris. Commercial buildings feature partially damaged roofs with missing sections, water stains, and some boarded or broken windows. Nearby single-story residential homes also exhibit roof damage, such as missing shingles and fascia, and broken window panes. Many palm trees are snapped mid-trunk or completely uprooted, their fronds and broken segments sprawled across yards, sidewalks, and parking lots. Piles of vegetative debris mixed with some light building materials are visible along the curbs. The sky is overcast and grey, casting a flat, diffuse light, indicative of recent rainfall."
000024_sat.png,000024_svi.png,Moderate,"A street level photo of a tropical residential neighborhood immediately after a strong wind storm. The paved asphalt road is mostly clear, but the adjacent sidewalks and yards are heavily covered in a dense carpet of fallen palm fronds, leaves, and small woody debris. The houses in the background have largely intact brown shingle roofs and appear structurally sound, though some may show minor external wear. The most striking feature is the widespread and severe damage to the vegetation: numerous palm trees have shredded or broken fronds, with many appearing bare or completely defoliated, while other deciduous trees are stripped of their leaves, showing only twisted, bare branches. Bright sunlight illuminates the scene under a clear or partly cloudy sky, casting sharp shadows and highlighting the post-storm devastation."
000025_sat.png,000025_svi.png,Severe,"A street level photo of a severely hurricane-damaged tropical landscape. The asphalt road is marked by numerous large, reflecting puddles and strewn with a chaotic mix of broken branches, ripped palm fronds, and other vegetative debris. The unpaved areas and vacant lots are heavily saturated with dark standing water and churned mud, further choked with organic wreckage. Buildings, possibly commercial structures, appear mostly intact but show signs of external wear and staining, with debris scattered around their foundations. The surrounding vegetation is utterly devastated: countless palm trees and broadleaf trees are defoliated, snapped mid-trunk, or completely toppled, creating dense, tangled piles of wreckage extending into the background. The scene is illuminated by diffused, post-storm sunlight breaking through a partly cloudy sky, casting soft shadows and highlighting the glistening wet surfaces."
000026_sat.png,000026_svi.png,Moderate,"A street level photo of a commercial area after a hurricane. The grey asphalt roads and parking lots are largely intact but are scattered with piles of green and brown vegetative debris, including snapped branches, broken tree limbs, and shredded palm fronds. Palm trees lining the streets are mostly defoliated, with only bare, scarred trunks and a few tattered fronds remaining. Other deciduous trees in the unpaved and grassy areas are completely stripped of leaves, appearing as skeletal, broken branches, with some smaller trees toppled or snapped on the dry, dusty ground. The one and two-story commercial buildings in the background appear structurally sound with intact flat roofs and facades, showing minimal visible damage. The scene is illuminated by harsh, direct sunlight from a clear sky, casting strong, sharp shadows and highlighting the dry, debris-strewn landscape."
000027_sat.png,000027_svi.png,Severe,"A street level photo of a severely hurricane-damaged coastal area. The asphalt road is damp and strewn with scattered leaves and small branches, showing signs of recent rainfall. On both sides, a dense expanse of tropical trees appears completely defoliated, their trunks snapped and branches skeletal and brown, creating a haunting, barren landscape. Massive piles of organic debris, including broken tree limbs and mud-stained foliage, cover the ground beneath the damaged vegetation. In the distance, obscured by the devastated trees, glimpses of implied residential structures with potential roof damage are visible. The sky is overcast with a muted, post-storm light, emphasizing the destruction and creating a somber atmosphere. A dark military helicopter is parked on the road further down, with a small white car visible nearby, indicating ongoing assessment or relief efforts."
000028_sat.png,000028_svi.png,Moderate,"A street level photo of a suburban street in the immediate aftermath of a strong storm. The dark asphalt road is heavily wet, with puddles reflecting a bright, partly cloudy sky, and significantly covered with large piles of green leafy debris and snapped tree branches along its shoulders. Numerous tall palm trees lining the road are dramatically snapped mid-trunk or completely defoliated, standing as stark, pale remnants. The adjacent grassy areas and residential yards are also thickly strewn with a carpet of vegetative debris. The single-story houses in the background appear structurally sound, though their surroundings are in disarray, and their roofs, while mostly intact, might show minor signs of wear or displacement from the storm. Strong sunlight filters through the post-storm clouds, casting clear, defined shadows."
000029_sat.png,000029_svi.png,Severe,"A street level photo of a severely damaged coastal neighborhood after a powerful hurricane. The dark asphalt road is wet and heavily obstructed by a thick layer of vegetative debris, consisting of snapped branches, shredded leaves, and some muddy sediment. On both sides of the road, the landscape is completely decimated: nearly all trees are defoliated, appearing as skeletal, broken trunks, with many completely toppled or leaning at extreme angles, creating an impassable, tangled wilderness of woody debris. In the background, multi-story, white-walled coastal buildings stand battered but not completely collapsed, showing visible signs of damage such as missing roof sections or shingles, broken or missing windows, and water stains on their facades. The overall lighting is muted and diffuse under an overcast, grey sky, emphasizing the wet, disheveled, and somber atmosphere of the disaster scene."
000030_sat.png,000030_svi.png,Severe,"A street level photo of a suburban residential neighborhood severely impacted by a recent hurricane. The asphalt roads are wet and partially blocked by large, tangled piles of organic debris, including snapped tree trunks, broken branches, and scattered palm fronds. The ground in the yards is churned earth, mud, and waterlogged grass, heavily littered with fallen trees and a dense carpet of brown foliage. Many single-family homes lining the street show extensive structural roof damage, with large sections of shingles ripped away, exposing underlying plywood or roof trusses. Some roofs have damaged or displaced solar panels. Other houses have visible signs of internal water damage or partially collapsed sections. Many palm trees are snapped mid-trunk or completely stripped of their fronds, while other deciduous trees are bare and broken. The scene is illuminated by the soft, diffused light of an overcast, grey sky, implying recent heavy rainfall and a somber atmosphere."
000031_sat.png,000031_svi.png,Severe,"A street level photo of a coastal neighborhood immediately after a severe hurricane. The paved road is visible but covered in a thin layer of wet, dark brown sediment and scattered organic debris like twigs and small branches. The ground on either side of the road is completely stripped of green foliage, dominated by flattened, brown, tangled remnants of what were once trees and bushes, now appearing as skeletal, snapped vegetation extending into the distance. A single-story house stands nearby, its light-colored roof appearing mostly intact but potentially covered in grime, while its walls show signs of dirt and water stains at the base. The sky is overcast and grey, casting a dull, somber light over the scene. The air feels heavy and damp, and the atmosphere is desolate and quiet."
000032_sat.png,000032_svi.png,Severe,"A street level photo of a coastal suburban neighborhood in the immediate aftermath of a severe hurricane. The paved asphalt road is mostly clear but bordered by numerous snapped power poles with tangled utility lines lying on the ground or dangling precariously. On one side of the road, a dense forest has been utterly flattened, forming a vast, chaotic expanse of snapped pine tree trunks and branches that blankets the ground. On the opposite side, resilient single-story homes, one with a reddish-brown tile roof and another with a dark shingle roof, appear largely intact from the roofline, standing amidst green but wind-battered lawns. Several palm trees in the yards are visibly snapped or stripped of their fronds. The ground around the houses is a mix of green grass and exposed sandy soil. The sky above is clear and bright, casting long shadows, indicating a sunny day after the storm, starkly highlighting the widespread devastation of the natural landscape and infrastructure."
000033_sat.png,000033_svi.png,Severe,"A street level photo of a severely storm-damaged coastal area under bright, clear skies. The ground is uneven, composed of wet, churned sand and dark mud, heavily littered with scattered fragments of wood, debris, and tangled vegetation. Nearby palm trees are dramatically bent, some leaning precariously, with most of their fronds stripped or torn by strong winds. The adjacent body of water is a murky, dark brown, showing distinct surface ripples from recent disturbance. In the middle ground, a wooden pier or dock structure is visibly shattered and partially collapsed into the turbulent water, with a small boat seemingly beached or entangled amidst the wreckage. The bright sunlight casts long, stark shadows across the scene, highlighting the widespread disarray and the immediate aftermath of a powerful natural disaster."
000034_sat.png,000034_svi.png,Moderate,"A street level photo of a tropical residential neighborhood heavily impacted by a hurricane. The asphalt roads are completely covered in a thick, damp layer of light-colored sand and extensive organic debris, including snapped tree limbs, numerous fallen palm fronds, and smaller plant matter, making passage difficult. The single-story houses, primarily made of light-colored materials, appear structurally sound but show moderate roof damage with missing shingles visible on many structures, and some windows may be broken. The surrounding tropical vegetation is severely defoliated and appears brown and lifeless; many palm trees are bent, broken, or have their fronds entirely stripped away, standing like stark, dark skeletons. The sky is overcast, casting a muted, post-storm light, and the overall atmosphere is one of recent devastation and dampness."
000035_sat.png,000035_svi.png,Severe,"A street level photo of a desolate, rural landscape after a powerful hurricane. The dark asphalt road is wet from recent rain, reflecting the overcast sky. On both sides of the road, the ground is completely buried under a chaotic, dense layer of tangled, defoliated trees and broken branches. Many tree trunks are snapped clean through, splintered and stripped of bark, forming a sea of brown and dark grey woody debris. The few remaining leaves are a sickly dark green, clinging to broken stems. The air feels heavy and damp under a uniformly grey, overcast sky, emphasizing the widespread natural destruction."
000036_sat.png,000036_svi.png,Moderate,"A street level photo of a coastal residential neighborhood with visible signs of a recent tropical storm. The asphalt road is mostly clear, but its edges and the adjacent grassy yards are littered with scattered brown palm fronds, snapped small tree branches, and dirt. Houses, primarily one-story and two-story structures with terra cotta or shingle roofs, appear structurally sound, though some roofs show isolated patches of missing shingles or minor discoloration. Trees throughout the scene exhibit significant defoliation and broken branches, giving them a windswept appearance, while the remaining foliage and grass are still green. The air is clear and bright under a sunny or partly cloudy sky, casting distinct shadows. In the distance, a narrow canal is visible with several boats docked, some possibly dislodged or showing minor damage."
000037_sat.png,000037_svi.png,Severe,"A street level photo of a severely hurricane-damaged coastal neighborhood. The ground is a chaotic mix of wet sand, dark mud, and dense piles of organic debris including snapped tree trunks and shredded foliage, making the unpaved roads barely discernible. Single and two-story houses, varying in style from traditional shingle roofs to flat white roofs, show significant damage: missing roof tiles, punctured facades, and shattered windows, though most structures remain standing. The surrounding landscape is dominated by extreme vegetation damage; countless palm trees are snapped at their trunks or bent at severe angles, completely stripped of fronds, while other broadleaf trees are defoliated and appear as skeletal remains. The scene is illuminated by the muted, even light of an overcast post-storm sky, emphasizing the widespread desolation."
000038_sat.png,000038_svi.png,Severe,"A street level photo of a severely damaged residential neighborhood after a major storm. The asphalt roads are almost entirely obscured by a thick, wet layer of muddy debris consisting of snapped tree branches, torn palm fronds, and scattered building materials. Large, murky puddles reflect the overcast, somber sky. Houses show widespread damage, with many roofs having missing shingles, exposed wooden sheathing, and visible structural damage or small holes. Some windows are shattered or boarded up, and building exteriors may bear water lines or mud stains. The landscape is barren and desolate, with almost all trees defoliated, many snapped at their trunks or reduced to stumps, and massive piles of vegetative wreckage in every yard. The air feels heavy and still after the storm."
000039_sat.png,000039_svi.png,Severe,"A street level photo of a desolate rural road after a devastating hurricane. The wet asphalt road, flanked by leaning utility poles and tangled wires, cuts through a severely damaged forest. On both sides, trees are completely defoliated, revealing a chaotic network of snapped branches and splintered trunks. The ground is covered in a thick layer of woody debris, mud, and fallen leaves. Scattered patches of dark green undergrowth provide the only hint of life amidst the brown and grey devastation. The sky is overcast and oppressive, casting a somber light on the scene."
000040_sat.png,000040_svi.png,Moderate,"A street level photo of a residential neighborhood in the aftermath of a severe storm or hurricane. The asphalt roads are mostly clear but show streaks of mud and scattered brown leaves and small branches. The yards and unpaved areas are completely covered with a thick, matted layer of dark brown vegetative debris, including stripped leaves and snapped twigs. Most single-story houses appear structurally intact, though some roofs may exhibit minor damage such as missing shingles or dirt streaks, but no significant structural collapse or gaping holes are visible. The surrounding trees are entirely defoliated, appearing skeletal and bare, with many branches snapped or twisted, and some smaller trees leaning significantly. The overall scene is desolate, muted, and brown, indicating extensive wind damage to vegetation, under an overcast or hazy post-storm sky with muted daylight."
000041_sat.png,000041_svi.png,Severe,"A street level photo of a coastal residential area severely damaged by a hurricane. The ground is a muddy mix of saturated earth and dark, murky floodwaters that have partially inundated yards and ditches, extending up to the edges of the main asphalt road. The road itself is visible but heavily covered with a chaotic carpet of vegetative debris, including snapped tree branches, stripped palm fronds, and other organic matter. The houses, primarily single-story with light-colored pitched roofs, appear structurally stable from this perspective, but would likely show closer signs of damage such as missing shingles, displaced fascia, and broken windows. The once vibrant tropical vegetation has been completely denuded, with an overwhelming number of trees snapped, uprooted, or stripped bare, their skeletal, tangled branches forming a desolate, grey-brown backdrop. The sky is heavily overcast, casting a muted, somber light over the extensive destruction."
000042_sat.png,000042_svi.png,Moderate,"A street level photo of a suburban residential street in the aftermath of a severe storm or hurricane. The asphalt road is mostly clear with occasional small debris, while the adjacent green lawns are extensively covered in widespread white and dark debris, including torn roof shingles, shattered fragments of screened enclosures, and broken tree branches. Houses along the street display significant roof damage, with large patches of shingles missing, exposing dark underlayment or lighter plywood. Several screened-in patios or pool enclosures are completely destroyed, their aluminum frames twisted and components strewn across the yards and sidewalks. Palm trees are heavily defoliated, appearing as bare trunks or with only a few tattered fronds remaining, and other trees show snapped limbs and stripped foliage. The scene is illuminated by bright, clear post-storm sunlight under a partly cloudy sky, casting distinct shadows."
000043_sat.png,000043_svi.png,Severe,"A street level photo of a coastal bridge abutment severely impacted by erosion. The ground adjacent to the concrete bridge is an uneven and heavily scoured landscape of light-colored, damp sand and earth, with visible erosion channels, exposed roots, and mounds. Turbulent dark ocean water crashes against the highly irregular and eroded shoreline, showing foam and strong currents, possibly leaving behind scattered debris like seaweed or small pieces of wood. On the opposite side of the bridge, calmer, dark green water extends beneath. Sparse, resilient palm trees with some damaged or stripped fronds stand on the heavily reshaped terrain, casting long, sharp shadows under a clear, bright sky, indicating sunny conditions in the aftermath of a powerful storm surge or hurricane."
000044_sat.png,000044_svi.png,Severe,"A street level photo of a suburban neighborhood severely impacted by a recent storm. The paved asphalt road appears mostly dry and clear, but the adjacent sidewalks and driveways are heavily littered with a chaotic mix of vegetative debris, including snapped palm fronds, broken branches, and scattered leaves, along with some lighter structural detritus like fragments of wood or aluminum. The once well-manicured green lawns are now largely obscured by this dense layer of natural and man-made debris. Houses, predominantly in a Florida-style architecture with tile roofs, display significant damage: many have numerous missing roof tiles exposing the underlying structure, while others show entirely destroyed screen enclosures or patio covers with collapsed frames. The prominent palm trees lining the street are heavily defoliated, with many having only bare trunks or severely bent and broken fronds hanging limply. The scene is bathed in strong, clear sunlight, casting sharp shadows that highlight the widespread devastation under a clear, bright blue sky."
000045_sat.png,000045_svi.png,Severe,"A street level photo of a tropical coastal neighborhood after a severe hurricane. The asphalt road is damp and partially obscured by scattered organic debris, including broken branches and palm fronds. The ground surrounding the modest, single-story houses is completely covered in a thick, dark, tangled layer of vegetative debris. The houses feature light-colored, possibly metal, roofs that appear mostly intact but might show signs of scuffing or minor dents. All visible trees are defoliated, their bare, snapped, and twisted branches create a skeletal landscape, indicative of extreme wind force. The sky is uniformly overcast and grey, casting a somber, muted light over the scene of widespread natural devastation."
000046_sat.png,000046_svi.png,Severe,"A street level photo of a coastal neighborhood utterly transformed by a major hurricane. The asphalt road is visible but partially obscured by scattered smaller branches and debris, while the surrounding ground is a thick, dark brown carpet of saturated organic debris – countless fallen leaves, broken branches, and uprooted small plants. The visible buildings, including a distinctive modern house with a white roof, would show broken windows and potentially missing roof tiles or facade damage, with substantial piles of vegetative debris heaped against their lower walls and foundations. The formerly dense tropical vegetation is completely ravaged: numerous palm trees stand snapped or are stripped bare of their fronds, and other broadleaf trees are defoliated, exhibiting splintered, skeletal branches against a murky, overcast sky that suggests the immediate aftermath of a powerful storm. The overall atmosphere is desolate and damp."
